鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,土地,僑中段809-2地號,33.02,住,,,1110805,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,72683,,0.0,0,,RPTOMLPJQHHGFAF38DA,0.0,0.0,0.0,無,0001
土城區,土地,頂新段146地號,71.6,都市：其他:道路用地,,,1110805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9524604,133025,,0.0,0,包含公共設施保留地用地；,RPXQMLQKQHHGFAF56DA,0.0,0.0,0.0,無,0002
土城區,土地,柑林段775地號,1.31,都市：其他:保護區,,,1110803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,120000,91603,,0.0,0,,RPTRMLRKQHHGFAF98DA,0.0,0.0,0.0,無,0003
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段２２號八樓之二,18.55,商,,,1110802,土地1建物1車位1,八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970729,187.02,3,2,2,有,有,17700000,94642,坡道平面,39.18,0,,RPWNMLNJQHHGFBF48DA,87.44,0.0,10.29,有,0004
林口區,房地(土地+建物)+車位,新北市林口區仁愛路一段３８６巷２號七樓之一　　　,16.09,商,,,1110809,土地2建物1車位1,七層,十層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0960425,113.24000000000001,3,2,2,有,有,15000000,132462,坡道平面,50.35,0,,RPXOMLRKQHHGFBF56DA,52.24,0.0,2.94,有,
新莊區,房地(土地+建物),新北市新莊區瓊林路１００巷１２號二樓,29.55,住,,,1110806,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0660402,79.66,3,2,1,有,無,3500000,43937,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLSKQHHGFBF56DA,79.66,0.0,0.0,無,
新莊區,房地(土地+建物),新北市新莊區民安西路４６８之６號,13.43,工,,,1110806,土地1建物1車位0,一層,十一層,住宅大樓(11層含以上有電梯),工業用,鋼筋混凝土造,0830707,82.89,2,1,1,有,有,7500000,90481,,0.0,0,,RPPNMLTKQHHGFBF48DA,59.47,9.18,0.0,有,
新店區,車位,新北市新店區北宜路２段３５３號等共同使用,0.33,住,,,1110815,土地1建物1車位1,,,其他,,,,36.07,0,0,0,有,有,1800000,,坡道平面,36.07,1800000,僅車位交易；,RPPNMLTKQHHGFCF58DA,0.0,0.0,0.0,有,0005
新店區,車位,新北市新店區寶慶街２號等,1.34,住,,,1110809,土地1建物1車位1,,,其他,,,,36.92,0,0,0,有,有,2050000,,坡道機械,36.92,2050000,僅車位交易；,RPSNMLTKQHHGFCF88DA,0.0,0.0,0.0,有,0006
金山區,房地(土地+建物),新北市金山區山城路９５號４樓之１,32.89,,山坡地保育區,丙種建築用地,1110811,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890913,61.82,1,1,1,有,有,1900000,30734,,0.0,0,,RPOPMLLKQHHGFDF97DA,43.34,0.0,5.31,有,
汐止區,房地(土地+建物),新北市汐止區茄苳路８８巷６弄２２號３樓,18.04,住,,,1110801,土地2建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,,36.85,3,2,2,有,無,3600000,97693,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLQKQHHGFDF68DA,36.85,0.0,0.0,無,0007
萬里區,土地,中萬里加投段二坪小段107地號,2514.0,,山坡地保育區,農牧用地,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,1392,,0.0,0,未登記建物；,RPQOMLRKQHHGFDF68DA,0.0,0.0,0.0,無,
萬里區,房地(土地+建物),新北市萬里區新墾丁路１２２號２樓,37.03,,山坡地保育區,丙種建築用地,1110801,土地1建物2車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731119,68.02,2,2,1,有,無,1900000,27933,,0.0,0,,RPPOMLTKQHHGFDF78DA,49.84,0.0,9.23,無,
汐止區,房地(土地+建物)+車位,新北市汐止區伯爵街４０巷２８號３樓,110.37,,山坡地保育區,丙種建築用地,1110815,土地1建物1車位1,三層，四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780830,214.5,6,3,3,有,有,12400000,57809,坡道平面,0.0,0,陽台外推；頂樓加蓋；,RPTOMLTKQHHGFDF56DA,149.93,0.0,23.31,無,0008
淡水區,房地(土地+建物)+車位,新北市淡水區中山北路三段３１巷１０２號四樓,21.89,住,,,1110805,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010521,139.61,2,2,2,有,有,11350000,81298,坡道平面,0.0,0,,RPROMLSJQHHGFEF88DA,69.79,8.74,4.34,有,0009
中和區,車位,新北市中和區景平路１７０～２００號地下六層,0.09,都市：其他:住宅區,,,1110810,土地3建物1車位1,地下六層,四十一層,其他,防空避難室兼停車場,鋼骨鋼筋混凝土造,0861104,32.29,0,0,0,有,有,1950000,,坡道平面,32.29,1950000,僅車位交易；,RPXPMLSKQHHGFHF37DA,0.0,0.0,0.0,有,0010
中和區,房地(土地+建物),新北市中和區華新街１３號四樓,17.76,住,,,1110801,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660104,56.22,3,2,1,有,無,7750000,137851,,0.0,0,,RPSQMLSKQHHGFHF96DA,56.22,0.0,0.0,無,0011
汐止區,房地(土地+建物),新北市汐止區樟樹一路２巷２３號５樓,6.32,住,,,1110802,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870403,32.910000000000004,1,1,1,有,有,5150000,156487,,0.0,0,夾層；,RPXNMLTKQHHGFDF96EA,22.46,0.0,4.91,有,
三芝區,房地(土地+建物),新北市三芝區中正路一段１８巷９號,98.48,住,,,1110806,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0661115,142.8,3,2,2,有,無,6000000,42017,,0.0,0,,RPURMLQKQHHGFEF86EA,142.8,0.0,0.0,無,
三重區,車位,新北市三重區環河南路２４３號地下一樓,0.1,住,,,1110809,土地1建物1車位1,地下一層,十四層,其他,管理員室,鋼筋混凝土造,0890601,20.97,0,0,0,有,有,1500000,,坡道平面,20.97,1500000,親友、員工、共有人或其他特殊關係間之交易；僅車位交易；,RPPNMLSKQHHGFGF98EA,0.0,0.0,0.0,有,0012
永和區,土地,得林段276-2地號,22.8,都市：其他:道路用地,,,1110805,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2040000,89474,,0.0,0,包含公共設施保留地用地；,RPPOMLSKQHHGFHF56EA,0.0,0.0,0.0,無,0013
樹林區,土地,樹新段257地號,23.69,住,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2345508,99008,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLTKQHHGFIF17EA,0.0,0.0,0.0,無,
淡水區,房地(土地+建物)+車位,新北市淡水區八勢路５０巷５弄１２號二樓,82.26,住,,,1110807,土地1建物1車位2,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060713,296.15,3,2,2,有,有,23600000,97198,坡道平面,85.24,3100000,,RPUSMLQKQHHGFEF96EA,122.68,8.56,11.66,有,
淡水區,房地(土地+建物)+車位,新北市淡水區崁頂三路１７５號十一樓,13.78,住,,,1110802,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050420,111.72999999999999,2,1,1,有,有,7500000,68643,坡道機械,15.58,900000,,RPVSMLQKQHHGFEF07EA,56.15,6.14,5.04,有,0014
淡水區,房地(土地+建物)+車位,新北市淡水區北新路１６９巷４０號八樓,13.4,住,,,1110804,土地2建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851228,88.95,2,1,1,有,有,6680000,75098,坡道機械,6.96,0,,RPPSMLQKQHHGFEF09EA,54.92,0.0,6.16,有,0015
林口區,房地(土地+建物)+車位,新北市林口區忠孝路１０３號二樓,10.26,住,,,1110808,土地1建物1車位1,二層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080531,104.62,2,1,1,有,有,13380000,127891,坡道平面,20.38,0,,RPWNMLMLQHHGFBF68EA,48.83,2.59,4.42,有,0016
新莊區,房地(土地+建物)+車位,新北市新莊區中港路７２５巷１號四樓,29.19,住,,,1110803,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100903,230.51999999999998,4,2,2,有,有,33000000,143155,坡道平面,30.26,0,,RPQPMLTKQHHGFBF88EA,116.92,2.74,13.9,有,
板橋區,土地,成功段339地號,15.0,住,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1403730,93582,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUQMLRKQHHGFAF09EA,0.0,0.0,0.0,無,
板橋區,房地(土地+建物),新北市板橋區中正路２５０巷１１４號,18.2,住,,,1110801,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0690723,64.52,3,1,1,有,無,6300000,97644,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQRMLPKQHHGFAF58EA,64.52,0.0,0.0,無,
板橋區,房地(土地+建物),新北市板橋區大觀路三段１９８巷１號四樓,20.67,住,,,1110810,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850727,101.67,3,1,1,有,有,8500000,83604,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPPMLMLQHHGFAF08EA,70.09,0.0,6.88,有,
鶯歌區,土地,鳳福段761地號,410.81,都市：其他:道路用地,,,1110801,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21719406,52870,,0.0,0,包含公共設施保留地用地；,RPXNMLSKQHHGFIF27DA,0.0,0.0,0.0,無,
永和區,土地,中信段894地號,15.62,都市：其他:道路用地,,,1110811,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,179257,,0.0,0,包含公共設施保留地用地；,RPSPMLLKQHHGFHF78DA,0.0,0.0,0.0,無,0017
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區中興街６２號五樓,14.43,住,,,1110801,土地2建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860120,134.79,3,2,2,有,有,16500000,122413,坡道平面,38.1,0,梯間其他增建；,RPOQMLSKQHHGFGF09DA,68.02,0.0,6.9,有,
淡水區,房地(土地+建物)+車位,新北市淡水區淡金路３８巷３３號十八樓之１３,5.5,住,,,1110801,土地1建物1車位1,十八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980218,69.65,1,1,1,有,有,6100000,87581,坡道平面,25.12,0,親友、員工、共有人或其他特殊關係間之交易；,RPXRMLSKQHHGFEF27DA,28.88,0.66,1.72,有,0018
淡水區,房地(土地+建物)+車位,新北市淡水區新市二路三段１７２巷２２號四樓,20.56,住,,,1110801,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070810,157.64999999999998,3,2,2,有,有,10720000,69533,坡道平面,26.49,1600000,,RPUPMLMJQHHGFEF68DA,84.81,0.0,8.63,有,0019
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路１７１號八樓,5.31,住,,,1110817,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100108,42.1,2,1,1,有,有,5175195,122926,塔式車位,0.0,0,其他增建；,RPXNMLRKQHHGFDF66DA,16.09,2.82,2.5,有,0020
新店區,房地(土地+建物)+車位,新北市新店區華城三路９巷２弄１４號,151.64,住,,,1110816,土地1建物1車位1,全,二層,透天厝,住家用,鋼筋混凝土造,0870123,95.25,3,1,2,有,有,16500000,173228,一樓平面,0.0,0,,RPPNMLMLQHHGFCF97DA,86.04,0.0,9.21,無,0021
新店區,房地(土地+建物)+車位,新北市新店區安康路二段１４９之２５號十一樓,14.41,住,,,1110811,土地2建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980520,116.99,3,2,1,有,有,15660000,142526,坡道機械,17.64,1500000,,RPXOMLRKQHHGFCF66DA,66.94,0.0,9.58,有,
新莊區,房地(土地+建物)+車位,新北市新莊區新北大道七段７７６巷２號十一樓,21.51,住,,,1110807,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801111,194.39,4,2,2,有,有,15580000,80148,坡道平面,0.0,1400000,,RPROMLSKQHHGFBF68DA,158.13,1.13,15.0,有,
土城區,土地,柑林段341地號,87.51,,特定專用區,農牧用地,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8470400,96794,,0.0,0,,RPXRMLRKQHHGFAF76DA,0.0,0.0,0.0,無,0022
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４６１號十三樓,14.67,住,,,1110805,土地1建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,123.14,2,1,1,有,有,16250000,159218,坡道平面,33.64,2000000,,RPWRMLTJQHHGFAF76DA,49.04,3.35,6.25,有,
林口區,土地,建林段1297地號,126.01,住,,,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16009000,127045,,0.0,0,,RPQOMLMJQHHGFBF87DA,0.0,0.0,0.0,無,0023
林口區,房地(土地+建物)+車位,新北市林口區富貴路７７號十五樓,11.49,商,,,1110802,土地1建物1車位1,十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060705,162.93,2,2,2,有,有,20880000,128153,坡道平面,23.15,0,,RPROMLRKQHHGFBF58DA,79.94,3.12,10.75,有,0024
林口區,車位,新北市林口區文化三路一段３９４巷８號〈附二至十九樓〉地下二層,3.02,商,,,1110808,土地1建物1車位1,地下二層,十九層,其他,停車空間,鋼筋混凝土造,0950825,19.21,0,0,0,有,有,1300000,,坡道平面,14.34,1300000,僅車位交易；,RPUQMLNLQHHGFBF78DA,0.0,0.0,0.0,有,0025
新店區,房地(土地+建物)+車位,新北市新店區能仁街１２號六樓,12.39,住,,,1110804,土地2建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040407,102.35,2,2,1,有,有,16300000,159257,升降機械,11.56,0,,RPWNMLNLQHHGFCF78DA,49.15,4.95,6.18,有,
汐止區,房地(土地+建物),新北市汐止區茄福街３５巷２１號,5.3,都市：其他:河川區,,,1110811,土地7建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701221,21.4,3,2,1,有,無,1250000,58411,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLSKQHHGFDF78DA,18.95,2.44,0.0,無,
淡水區,房地(土地+建物),新北市淡水區民權路２２１號七樓之１,4.12,住,,,1110813,土地1建物1車位0,七層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0961005,43.870000000000005,0,0,0,無,有,5700000,129929,,0.0,0,,RPPNMLKLQHHGFEF97DA,28.41,0.6,0.0,有,0026
淡水區,房地(土地+建物)+車位,新北市淡水區新春街８５巷２５弄２１號九樓,29.74,住,,,1110812,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041028,175.86,3,2,2,有,有,14200000,88735,坡道平面,31.61,1400000,,RPORMLMLQHHGFEF48DA,85.36,6.83,9.46,有,0027
三重區,房地(土地+建物)+車位,新北市三重區三和路四段９７之１８號三樓,12.68,工,,,1110801,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),工業用,鋼筋混凝土造,0831125,133.42000000000002,3,2,2,有,有,15600000,116924,坡道平面,0.0,2000000,陽台外推；,RPSPMLOJQHHGFGF88DA,65.43,0.91,9.53,有,
三重區,土地,菜寮段97地號,170.36,住,,,1110804,土地16建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39932650,234402,,0.0,0,,RPSOMLQKQHHGFGF09DA,0.0,0.0,0.0,無,0028
蘆洲區,車位,新北市蘆洲區永樂街３８巷５７弄２號等地下二、三層,4.13,住,,,1110811,土地1建物1車位1,地下二層，地下三層,十四層,其他,室內停車間、防空避難室,鋼筋混凝土造,0831024,32.59,0,0,0,有,有,1900000,,坡道平面,32.59,1900000,僅車位交易；,RPXPMLLKQHHGFGF56DA,0.0,0.0,0.0,有,0029
瑞芳區,房地(土地+建物),新北市瑞芳區明燈路三段４０號五樓,25.5,商,,,1110813,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,116.98,3,3,3,有,無,4300000,36758,,0.0,0,頂樓加蓋；,RPVNMLMLQHHGFFF88DA,108.63,0.0,8.35,無,0030
中和區,房地(土地+建物),新北市中和區員山路１４８巷４３號二樓,20.64,住,,,1110804,土地1建物1車位0,二層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680913,85.46,3,2,1,有,無,8000000,93611,,0.0,0,,RPPQMLPJQHHGFHF88DA,85.46,0.0,0.0,無,
中和區,房地(土地+建物)+車位,新北市中和區民有街３５號二樓,17.98,住,,,1110806,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1090120,149.32999999999998,3,2,2,有,有,23000000,160528,升降機械,18.2,1950000,,RPPPMLRKQHHGFHF09DA,81.24,1.74,6.21,有,
永和區,房地(土地+建物),新北市永和區保福路二段１０２號五樓,27.16,住,,,1110801,土地2建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660505,94.44,3,2,1,有,無,12000000,127065,,0.0,0,,RPRQMLTKQHHGFHF96DA,94.44,0.0,0.0,無,
中和區,房地(土地+建物),新北市中和區景平路７１之３號四樓,10.42,都市：其他:住宅區,,,1110808,土地2建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820323,99.72,3,2,2,有,有,12600000,126354,,0.0,0,,RPQNMLLLQHHGFHF48DA,60.79,0.79,10.59,有,0031
中和區,車位,新北市中和區中興街２０２巷２，２之１，２之２，６，８，１０，１２，１６，１８（６，８，１２無本號）地下二層,2.39,住,,,1110810,土地1建物1車位1,地下二層,十四層,其他,停車空間,鋼筋混凝土造,0841117,40.93,0,0,0,有,有,2100000,,坡道平面,40.93,2100000,僅車位交易；,RPXOMLMLQHHGFHF76DA,0.0,0.0,0.0,有,0032
鶯歌區,房地(土地+建物),新北市鶯歌區二甲路中心巷１３弄２號,177.72,,一般農業區,丁種建築用地,1110808,土地1建物1車位0,全,三層,透天厝,辦公用,鋼筋混凝土造,0810525,370.73,0,0,0,無,無,23500000,63388,,0.0,0,其他增建；,RPROMLQKQHHGFIF56DA,304.31,66.42,0.0,有,
鶯歌區,土地,鳳福段871地號,12.52,都市：其他:道路用地,,,1110815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,638820,51024,,0.0,0,包含公共設施保留地用地；,RPQNMLTKQHHGFIF66DA,0.0,0.0,0.0,無,
土城區,土地,南天母段888地號,183.48,,山坡地保育區,丙種建築用地,1110804,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,10900,,0.0,0,,RPQNMLMLQHHGFAF97EA,0.0,0.0,0.0,無,0033
板橋區,房地(土地+建物),新北市板橋區中正路２３６巷９６號二樓,26.75,住,,,1110809,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660629,76.86,3,2,1,有,無,7500000,97580,,0.0,0,,RPTNMLMLQHHGFAF28EA,66.06,0.0,10.8,無,
土城區,房地(土地+建物),新北市土城區延平街７８號二樓,19.95,住,,,1110803,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710517,87.56,3,1,1,有,無,6500000,74235,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRPMLMLQHHGFAF28EA,81.06,0.0,6.5,無,0034
板橋區,房地(土地+建物),新北市板橋區民生路一段３３號八樓之四,13.33,住,,,1110812,土地1建物1車位0,八層,二十八層,住宅大樓(11層含以上有電梯),商業用,鋼骨混凝土造,0831202,170.07,0,0,0,無,有,14850000,87317,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSRMLNLQHHGFAF68EA,126.44,0.0,0.0,有,
汐止區,土地,環河段1298-1地號,11.09,工,,,1110815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1908811,172120,,0.0,0,,RPROMLTKQHHGFDF09EA,0.0,0.0,0.0,無,
新店區,土地,福園段604地號,11.78,都市：其他:道路用地,,,1110811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1965152,166821,,0.0,0,包含公共設施保留地用地；,RPRNMLNLQHHGFCF38EA,0.0,0.0,0.0,無,0035
新店區,土地,大豐段504-1地號,1.57,都市：其他:道路用地,,,1110811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,290350,184936,,0.0,0,包含公共設施保留地用地；,RPSOMLTKQHHGFCF09EA,0.0,0.0,0.0,無,0036
三重區,房地(土地+建物),新北市三重區新北大道一段２０６巷３６號三樓,17.52,住,,,1110812,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0600501,63.38,2,1,1,有,無,4400000,69423,,0.0,0,,RPQNMLMLQHHGFGF58EA,63.38,0.0,0.0,無,0037
中和區,土地,東南段42地號,85.48,都市：其他:道路用地,,,1110812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11936826,139645,,0.0,0,包含公共設施保留地用地；,RPOQMLTKQHHGFHF76EA,0.0,0.0,0.0,無,0038
中和區,土地,光復段61地號,16.15,都市：其他:垃圾處理場用地,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,920000,56966,,0.0,0,,RPRNMLMLQHHGFHF78EA,0.0,0.0,0.0,無,0039
中和區,房地(土地+建物),新北市中和區圓通路２６５巷３３號,25.03,住,,,1110807,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740109,75.35,3,1,1,有,無,3440000,45654,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLMLQHHGFHF66EA,63.53,11.82,0.0,無,
永和區,土地,永平段382-1地號,52.35,都市：其他:道路用地,,,1110817,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6695908,127907,,0.0,0,包含公共設施保留地用地；,RPRRMLMLQHHGFHF56EA,0.0,0.0,0.0,無,0040
三峽區,土地,溪東段1019地號,124.33,,山坡地保育區,農牧用地,1110815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,638888,5139,,0.0,0,土地未臨路且部分被他人占用,RPXOMLMLQHHGFIF96EA,0.0,0.0,0.0,無,0041
三重區,土地,仁興段2471-2地號,20.65,都市：其他:道路用地,,,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4400000,213075,,0.0,0,包含公共設施保留地用地；,RPPNMLNLQHHGFGF58EA,0.0,0.0,0.0,無,
貢寮區,土地,田寮洋段新社田寮小段429地號,1337.0,農,,,1110816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1122,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNLQHHGFFF48EA,0.0,0.0,0.0,無,
新店區,房地(土地+建物)+車位,新北市新店區中央路３８號五樓,26.85,住,,,1110805,土地1建物1車位1,五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1110207,163.24,3,2,2,有,有,27231650,192030,坡道平面,34.97,2600000,,RPPQMLMLQHHGFCF38EA,74.63,4.77,6.17,有,0042
三芝區,土地,新小基隆段蕃社後小段43-4地號,913.38,都市：其他:農業區,,,1110802,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2760000,3022,,0.0,0,,RPPOMLMLQHHGFEF38EA,0.0,0.0,0.0,無,
淡水區,房地(土地+建物),新北市淡水區水源街二段９２巷７之１號六樓之３,22.59,住,,,1110814,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0981125,99.23,3,0,3,有,有,8000000,80621,,0.0,0,,RPSOMLMLQHHGFEF68EA,54.22,1.88,8.79,有,
板橋區,房地(土地+建物),新北市板橋區僑中一街１２４巷１１弄６號五樓,21.95,住,,,1110804,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,79.32,2,2,1,有,無,6700000,84468,,0.0,0,,RPTSMLNLQHHGFAF88EA,65.08,0.0,14.24,無,0043
板橋區,房地(土地+建物),新北市板橋區自強新村１１之１號三樓,21.7,住,,,1110805,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690204,75.67,3,1,1,有,無,9300000,122902,,0.0,0,,RPTPMLMLQHHGFAF48EA,75.67,0.0,0.0,無,
三峽區,房地(土地+建物),新北市三峽區民生街２７巷１２號五樓之４,2.54,都市：其他:住宅區,,,1110814,土地2建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850401,25.96,1,0,1,有,有,3100000,119414,,0.0,0,,RPSNMLTKQHHGFIF86DA,12.81,0.0,4.59,有,0044
樹林區,房地(土地+建物),新北市樹林區龍興街４６巷３８號五樓,34.48,住,,,1110802,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751114,103.83,6,2,3,有,無,7800000,75123,,0.0,0,5樓格局3房1廳2衛頂樓格局3房1廳1衛頂樓加蓋；,RPQNMLNLQHHGFIF78DA,95.9,0.0,7.93,無,0045
中和區,土地,南工段293-1地號,55.61,都市：其他:道路用地,,,1110804,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6282261,112970,,0.0,0,包含公共設施保留地用地；,RPRQMLMLQHHGFHF98DA,0.0,0.0,0.0,無,0046
永和區,車位,新北市永和區仁愛路８５號等,0.21,都市：其他:住宅區,,,1110808,土地1建物1車位1,,,其他,,,,30.85,0,0,0,有,有,1800000,,坡道平面,30.85,1800000,親友、員工、共有人或其他特殊關係間之交易；僅車位交易；,RPXOMLSKQHHGFHF27DA,0.0,0.0,0.0,有,0047
永和區,房地(土地+建物),新北市永和區中山路一段３８號四樓之三,4.01,商,,,1110802,土地2建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0990910,55.739999999999995,1,1,1,有,有,10130000,181737,,0.0,0,,RPSQMLSJQHHGFHF86DA,33.12,1.36,3.78,有,0048
